State,x,y
Abia,-52.0,-186.0
Adamawa,186.0,28.0
Akwa Ibom,-46.0,-223.0
Anambra,-90.0,-157.0
Bauchi,44.0,93.0
Bayelsa,-147.0,-233.0
Benue,-10.0,-87.0
Borno,250.0,166.0
Cross River,-12.0,-179.0
Delta,-170.0,-189.0
Ebonyi,-34.0,-147.0
Edo,-167.0,-136.0
Ekiti,-192.0,-70.0
Enugu,-74.0,-128.0
FCT,-88.0,-6.0
Gombe,138.0,84.0
Imo,-93.0,-189.0
Jigawa,32.0,191.0
Kaduna,-63.0,80.0
Kano,-18.0,157.0
Katsina,-70.0,202.0
Kebbi,-260.0,146.0
Kogi,-121.0,-67.0
Kwara,-223.0,-12.0
Lagos,-290.0,-136.0
Nasarawa,-42.0,-22.0
Niger,-173.0,54.0
Ogun,-298.0,-112.0
Ondo,-200.0,-109.0
Osun,-237.0,-79.0
Oyo,-289.0,-45.0
Plateau,40.0,15.0
Rivers,-106.0,-229.0
Sokoto,-195.0,241.0
Taraba,86.0,-58.0
Yobe,150.0,188.0
Zamfara,-164.0,172.0
